request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_38,164.95,affordable_later,wait,2025-10-15:971.3,2025-10-15,none,Requested EUR 971.3. Safe to pay today: EUR 164.95. Full payment of EUR 971.3 is expected to be safe from 2025-10-15. Earliest safe full payment: 2025-10-15.
request_39,65081.31,affordable_later,wait,2026-06-15:208600,2026-06-15,none,Requested INR 208600. Safe to pay today: INR 65081.31. Full payment of INR 208600 is expected to be safe from 2026-06-15. Earliest safe full payment: 2026-06-15.
request_40,391.9,affordable_with_plan,wait,2024-08-15:1290.3,2024-08-15,reduce_to:event_3710:36.50,Requested EUR 1290.3. Safe to pay today: EUR 350.29. A payment plan completes the request safely. Spending changes needed: reduce_to:event_3710:36.50.
request_41,9915172.79,affordable_later,wait,2026-01-15:38760000,2026-01-15,none,Requested IDR 38760000. Safe to pay today: IDR 9915172.79. Full payment of IDR 38760000 is expected to be safe from 2026-01-15. Earliest safe full payment: 2026-01-15.
request_42,48515.86,affordable_later,wait,2026-03-15:52100,2026-03-15,none,Requested INR 52100. Safe to pay today: INR 48515.86. Full payment of INR 52100 is expected to be safe from 2026-03-15. Earliest safe full payment: 2026-03-15.
request_43,8319654.88,affordable_later,wait,2024-11-15:43339000,2024-11-15,none,Requested IDR 43339000. Safe to pay today: IDR 8319654.88. Full payment of IDR 43339000 is expected to be safe from 2024-11-15. Earliest safe full payment: 2024-11-15.
request_44,38347.36,affordable_later,wait,2025-04-15:95800,2025-04-15,none,Requested INR 95800. Safe to pay today: INR 38347.36. Full payment of INR 95800 is expected to be safe from 2025-04-15. Earliest safe full payment: 2025-04-15.
request_45,3318968.41,affordable_later,wait,2026-09-15:21983000,2026-09-15,none,Requested IDR 21983000. Safe to pay today: IDR 3318968.41. Full payment of IDR 21983000 is expected to be safe from 2026-09-15. Earliest safe full payment: 2026-09-15.
request_46,40191.49,affordable_with_plan,partial_payment,2024-12-03:40191.49|2024-12-15:9258.51,2024-12-15,none,"Requested INR 49450. Safe to pay today: INR 40191.49. A two-payment partial plan completes the request safely. Partial plan: 2024-12-03:40191.49,2024-12-15:9258.51."
request_47,0,not_affordable,not_recommended,none,"",none,Requested IDR 38114000. Safe to pay today: IDR 20488219.09. No safe way to complete this request by the deadline was found.
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,Requested INR 45700. Safe to pay today: INR 45700. The full amount is affordable today without spending changes.
request_49,12950832.31,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-05-15,reduce_to:event_4636:696350,"Requested IDR 34333000. Safe to pay today: IDR 12296077.46. Installments fit within the 90-day balance forecast. Installment plan: 2024-03-18:11902106.67,2024-04-18:11902106.67,2024-05-19:11902106.67. Spending changes needed: reduce_to:event_4636:696350."
request_50,43900,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,Requested INR 43900. Safe to pay today: INR 43900. The full amount is affordable today without spending changes.
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,Requested IDR 2191000. Safe to pay today: IDR 2191000. The full amount is affordable today without spending changes.
request_52,18739.82,affordable_later,wait,2024-06-15:28870,2024-06-15,none,Requested INR 28870. Safe to pay today: INR 18739.82. Full payment of INR 28870 is expected to be safe from 2024-06-15. Earliest safe full payment: 2024-06-15.
request_53,468.73,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2026-01-15,none,"Requested USD 1699.2. Safe to pay today: USD 468.73. Installments fit within the 90-day balance forecast. Installment plan: 2025-11-21:589.06,2025-12-19:589.06,2026-01-16:589.06."
request_54,0,not_affordable,not_recommended,none,"",none,Requested ZAR 121528. Safe to pay today: ZAR 1907.88. No safe way to complete this request by the deadline was found.
request_55,136184.84,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-07-15,none,"Requested INR 218600. Safe to pay today: INR 136184.84. Installments fit within the 90-day balance forecast. Installment plan: 2026-06-11:75781.33,2026-07-12:75781.33,2026-08-12:75781.33."
request_56,613.68,affordable_with_plan,partial_payment,2025-02-03:613.68|2025-02-15:267.88,2025-02-15,none,"Requested USD 881.56. Safe to pay today: USD 613.68. A two-payment partial plan completes the request safely. Partial plan: 2025-02-03:613.68,2025-02-15:267.88."
request_57,14486.84,affordable_later,wait,2026-06-15:61446,2026-06-15,none,Requested ZAR 61446. Safe to pay today: ZAR 14486.84. Full payment of ZAR 61446 is expected to be safe from 2026-06-15. Earliest safe full payment: 2026-06-15.
request_58,16226000,affordable_with_plan,full_payment,2024-12-07:16226000,2024-12-07,stop:event_5358,Requested IDR 16226000. Safe to pay today: IDR 14747394.2. Full payment is safe after adjusting flexible spending. Spending changes needed: stop:event_5358.
request_59,140600,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"Requested INR 140600. Safe to pay today: INR 140600. Installments fit within the 90-day balance forecast. Installment plan: 2025-05-07:48741.33,2025-06-04:48741.33,2025-07-02:48741.33."
request_60,0,not_affordable,not_recommended,none,"",none,Requested USD 199.89. Safe to pay today: USD 0. No safe way to complete this request by the deadline was found.
request_61,29062,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"Requested ZAR 29062. Safe to pay today: ZAR 29062. Installments fit within the 90-day balance forecast. Installment plan: 2024-03-17:10074.83,2024-04-17:10074.83,2024-05-18:10074.83."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,Requested USD 404.23. Safe to pay today: USD 404.23. The full amount is affordable today without spending changes.
request_63,0,not_affordable,not_recommended,none,"",none,Requested INR 343900. Safe to pay today: INR 48496.62. No safe way to complete this request by the deadline was found.
request_64,0,not_affordable,not_recommended,none,"",none,Requested INR 63700. Safe to pay today: INR 27918.09. No safe way to complete this request by the deadline was found.
request_65,0,not_affordable,not_recommended,none,"",none,Requested ZAR 54340. Safe to pay today: ZAR 5706.41. No safe way to complete this request by the deadline was found.
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,Requested INR 22200. Safe to pay today: INR 22200. The full amount is affordable today without spending changes.
request_67,292.2,affordable_later,wait,2024-11-15:2094,2024-11-15,none,Requested USD 2094. Safe to pay today: USD 292.2. Full payment of USD 2094 is expected to be safe from 2024-11-15. Earliest safe full payment: 2024-11-15.
request_68,1380.32,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-03-23,none,"Requested USD 2091.6. Safe to pay today: USD 1380.32. Installments fit within the 90-day balance forecast. Installment plan: 2025-02-14:725.09,2025-03-14:725.09,2025-04-11:725.09."
request_69,529.1,affordable_now,full_payment,2026-01-04:529.1,2026-01-04,none,Requested EUR 529.1. Safe to pay today: EUR 529.1. The full amount is affordable today without spending changes.
request_70,49264.7,affordable_later,wait,2025-02-15:243900,2025-02-15,none,Requested INR 243900. Safe to pay today: INR 49264.7. Full payment of INR 243900 is expected to be safe from 2025-02-15. Earliest safe full payment: 2025-02-15.
request_71,0,not_affordable,not_recommended,none,"",none,Requested IDR 21451000. Safe to pay today: IDR 777380.31. No safe way to complete this request by the deadline was found.
request_72,11330,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,Requested ZAR 11330. Safe to pay today: ZAR 11330. The full amount is affordable today without spending changes.
request_73,71400,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,Requested INR 71400. Safe to pay today: INR 71400. The full amount is affordable today without spending changes.
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,Requested ZAR 5010. Safe to pay today: ZAR 5010. The full amount is affordable today without spending changes.
request_75,0,not_affordable,not_recommended,none,"",none,Requested ZAR 28270. Safe to pay today: ZAR 14747.25. No safe way to complete this request by the deadline was found.
request_76,0,not_affordable,not_recommended,none,"",none,Requested USD 4455.6. Safe to pay today: USD 0. No safe way to complete this request by the deadline was found.
request_77,60700,affordable_now,full_payment,2025-11-05:60700,2025-11-05,none,Requested INR 60700. Safe to pay today: INR 60700. The full amount is affordable today without spending changes.
request_78,0,not_affordable,not_recommended,none,"",none,Requested INR 50200. Safe to pay today: INR 0. No safe way to complete this request by the deadline was found.
request_79,0,not_affordable,not_recommended,none,"",none,Requested EUR 2151.6. Safe to pay today: EUR 358.89. No safe way to complete this request by the deadline was found.
request_80,0,not_affordable,not_recommended,none,"",none,Requested INR 217500. Safe to pay today: INR 0. No safe way to complete this request by the deadline was found.
request_81,2076,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,Requested USD 2076. Safe to pay today: USD 2076. The full amount is affordable today without spending changes.
request_82,388.67,affordable_later,wait,2025-02-15:1405.2,2025-02-15,none,Requested USD 1405.2. Safe to pay today: USD 388.67. Full payment of USD 1405.2 is expected to be safe from 2025-02-15. Earliest safe full payment: 2025-02-15.
request_83,0,not_affordable,not_recommended,none,"",none,Requested INR 156200. Safe to pay today: INR 6529.07. No safe way to complete this request by the deadline was found.
request_84,34436.73,affordable_later,wait,2026-06-15:95400,2026-06-15,none,Requested INR 95400. Safe to pay today: INR 34436.73. Full payment of INR 95400 is expected to be safe from 2026-06-15. Earliest safe full payment: 2026-06-15.
request_85,0,not_affordable,not_recommended,none,"",none,Requested IDR 19304000. Safe to pay today: IDR 347610.91. No safe way to complete this request by the deadline was found.
request_86,46300,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,Requested INR 46300. Safe to pay today: INR 46300. The full amount is affordable today without spending changes.
request_87,0,not_affordable,not_recommended,none,"",none,Requested INR 487900. Safe to pay today: INR 32689.44. No safe way to complete this request by the deadline was found.
request_88,10759.01,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-07-15,none,"Requested ZAR 26092. Safe to pay today: ZAR 10759.01. Installments fit within the 90-day balance forecast. Installment plan: 2024-06-14:9045.23,2024-07-15:9045.23,2024-08-15:9045.23."
request_89,10115335.57,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2025-12-15,reduce_to:event_8403:203300,"Requested IDR 13756000. Safe to pay today: IDR 9861481.06. Installments fit within the 90-day balance forecast. Installment plan: 2025-11-18:4768746.67,2025-12-16:4768746.67,2026-01-13:4768746.67. Spending changes needed: reduce_to:event_8403:203300."
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,Requested ZAR 2560. Safe to pay today: ZAR 2560. The full amount is affordable today without spending changes.
request_91,422.95,affordable_later,wait,2024-11-15:1927.2,2024-11-15,none,Requested EUR 1927.2. Safe to pay today: EUR 422.95. Full payment of EUR 1927.2 is expected to be safe from 2024-11-15. Earliest safe full payment: 2024-11-15.
request_92,0,not_affordable,not_recommended,none,"",none,Requested ZAR 34034. Safe to pay today: ZAR 0. No safe way to complete this request by the deadline was found.
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.2,2026-04-07,none,Requested USD 1729.2. Safe to pay today: USD 1729.2. The full amount is affordable today without spending changes.
request_94,572,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,Requested EUR 572. Safe to pay today: EUR 572. The full amount is affordable today without spending changes.
request_95,0,not_affordable,not_recommended,none,"",none,Requested INR 553000. Safe to pay today: INR 14133.48. No safe way to complete this request by the deadline was found.
request_96,73637.04,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-02-15,none,"Requested INR 90200. Safe to pay today: INR 73637.04. Installments fit within the 90-day balance forecast. Installment plan: 2026-01-10:31269.33,2026-02-09:31269.33,2026-03-11:31269.33."
request_97,1520.79,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-04-15,none,"Requested ZAR 23496. Safe to pay today: ZAR 1520.79. Installments fit within the 90-day balance forecast. Installment plan: 2024-03-19:8145.28,2024-04-19:8145.28,2024-05-20:8145.28."
request_98,8576.56,affordable_later,wait,2025-10-15:27148,2025-10-15,none,Requested ZAR 27148. Safe to pay today: ZAR 8576.56. Full payment of ZAR 27148 is expected to be safe from 2025-10-15. Earliest safe full payment: 2025-10-15.
request_99,18062,affordable_with_plan,full_payment,2026-07-04:18062,2026-07-04,reduce_to:event_9232:1065.90,Requested ZAR 18062. Safe to pay today: ZAR 17264.68. Full payment is safe after adjusting flexible spending. Spending changes needed: reduce_to:event_9232:1065.90.
request_100,26944.26,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-07-15,none,"Requested ZAR 37114. Safe to pay today: ZAR 26944.26. Installments fit within the 90-day balance forecast. Installment plan: 2024-06-13:12866.19,2024-07-14:12866.19,2024-08-14:12866.19."
request_101,143500,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,Requested INR 143500. Safe to pay today: INR 143500. The full amount is affordable today without spending changes.
request_102,1716,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Requested EUR 1716. Safe to pay today: EUR 1716. Installments fit within the 90-day balance forecast. Installment plan: 2026-04-05:594.88,2026-05-05:594.88,2026-06-04:594.88."
request_103,0,not_affordable,not_recommended,none,"",none,Requested INR 368300. Safe to pay today: INR 3366.3. No safe way to complete this request by the deadline was found.
request_104,0,not_affordable,not_recommended,none,"",none,Requested ZAR 17204. Safe to pay today: ZAR 0. No safe way to complete this request by the deadline was found.
request_105,53500,affordable_with_plan,full_payment,2026-06-08:53500,2026-06-08,reduce_to:event_9721:1720,Requested INR 53500. Safe to pay today: INR 52388.34. Full payment is safe after adjusting flexible spending. Spending changes needed: reduce_to:event_9721:1720.
request_106,458.57,affordable_later,wait,2025-02-15:2207.7,2025-02-15,none,Requested EUR 2207.7. Safe to pay today: EUR 458.57. Full payment of EUR 2207.7 is expected to be safe from 2025-02-15. Earliest safe full payment: 2025-02-15.
request_107,2461.66,affordable_with_plan,installments,2025-05-08:878.59|2025-06-05:878.59|2025-07-03:878.59,2025-05-15,stop:event_9894|reduce_to:event_9959:42.50,"Requested EUR 2534.4. Safe to pay today: EUR 2397.18. Installments fit within the 90-day balance forecast. Installment plan: 2025-05-08:878.59,2025-06-05:878.59,2025-07-03:878.59. Spending changes needed: stop:event_9894,reduce_to:event_9959:42.50."
request_108,0,not_affordable,not_recommended,none,"",none,Requested ZAR 55308. Safe to pay today: ZAR 0. No safe way to complete this request by the deadline was found.
request_109,601.46,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-05-15,none,"Requested EUR 1863.4. Safe to pay today: EUR 601.46. Installments fit within the 90-day balance forecast. Installment plan: 2024-03-18:645.98,2024-04-18:645.98,2024-05-19:645.98."
request_110,22352,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Requested ZAR 22352. Safe to pay today: ZAR 22352. Installments fit within the 90-day balance forecast. Installment plan: 2025-08-06:7748.69,2025-09-03:7748.69,2025-10-01:7748.69."
request_111,16625000,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,Requested IDR 16625000. Safe to pay today: IDR 16625000. The full amount is affordable today without spending changes.
request_112,271.7,affordable_now,full_payment,2024-06-05:271.7,2024-06-05,none,Requested EUR 271.7. Safe to pay today: EUR 271.7. The full amount is affordable today without spending changes.
request_113,21628.46,affordable_later,wait,2026-11-15:36500,2026-11-15,none,Requested INR 36500. Safe to pay today: INR 21628.46. Full payment of INR 36500 is expected to be safe from 2026-11-15. Earliest safe full payment: 2026-11-15.
request_114,0,not_affordable,not_recommended,none,"",none,Requested INR 65300. Safe to pay today: INR 0. No safe way to complete this request by the deadline was found.
request_115,14382.5,affordable_later,wait,2024-11-15:80500,2024-11-15,none,Requested INR 80500. Safe to pay today: INR 14382.5. Full payment of INR 80500 is expected to be safe from 2024-11-15. Earliest safe full payment: 2024-11-15.
request_116,0,not_affordable,not_recommended,none,"",none,Requested INR 241200. Safe to pay today: INR 7254.54. No safe way to complete this request by the deadline was found.
request_117,880,affordable_with_plan,full_payment,2026-07-05:880,2026-07-05,reduce_to:event_10833:11|reduce_to:event_10878:20.50,"Requested EUR 880. Safe to pay today: EUR 853.8. Full payment is safe after adjusting flexible spending. Spending changes needed: reduce_to:event_10833:11,reduce_to:event_10878:20.50."
request_118,680.77,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2024-12-15,none,"Requested EUR 738.1. Safe to pay today: EUR 680.77. Installments fit within the 90-day balance forecast. Installment plan: 2024-12-07:255.87,2025-01-07:255.87,2025-02-07:255.87."
request_119,58750.12,affordable_with_plan,installments,2025-05-18:70546.67|2025-06-15:70546.67|2025-07-13:70546.67,2025-06-15,reduce_to:event_11057:2370,"Requested INR 203500. Safe to pay today: INR 58750.12. Installments fit within the 90-day balance forecast. Installment plan: 2025-05-18:70546.67,2025-06-15:70546.67,2025-07-13:70546.67. Spending changes needed: reduce_to:event_11057:2370."
request_120,7714000,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,Requested IDR 7714000. Safe to pay today: IDR 7714000. The full amount is affordable today without spending changes.
request_121,633.6,affordable_now,full_payment,2024-03-03:633.6,2024-03-03,none,Requested USD 633.6. Safe to pay today: USD 633.6. The full amount is affordable today without spending changes.
request_122,20558000,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Requested IDR 20558000. Safe to pay today: IDR 20558000. Installments fit within the 90-day balance forecast. Installment plan: 2025-08-05:7126773.33,2025-09-02:7126773.33,2025-09-30:7126773.33."
request_123,4076000,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,Requested IDR 4076000. Safe to pay today: IDR 4076000. The full amount is affordable today without spending changes.
request_124,0,not_affordable,not_recommended,none,"",none,Requested EUR 3104.2. Safe to pay today: EUR 1377.68. No safe way to complete this request by the deadline was found.
request_125,6468,affordable_with_plan,full_payment,2025-11-06:6468,2025-11-06,reduce_to:event_11602:223.30,Requested ZAR 6468. Safe to pay today: ZAR 6138.72. Full payment is safe after adjusting flexible spending. Spending changes needed: reduce_to:event_11602:223.30.
request_126,159600,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,Requested INR 159600. Safe to pay today: INR 159600. The full amount is affordable today without spending changes.
request_127,8674.29,affordable_later,wait,2024-10-15:23980,2024-10-15,none,Requested ZAR 23980. Safe to pay today: ZAR 8674.29. Full payment of ZAR 23980 is expected to be safe from 2024-10-15. Earliest safe full payment: 2024-10-15.
request_128,25168,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,Requested ZAR 25168. Safe to pay today: ZAR 25168. The full amount is affordable today without spending changes.
request_129,0,not_affordable,not_recommended,none,"",none,Requested USD 2668.8. Safe to pay today: USD 155.23. No safe way to complete this request by the deadline was found.
request_130,366.76,affordable_later,wait,2025-02-15:1978.8,2025-02-15,none,Requested USD 1978.8. Safe to pay today: USD 366.76. Full payment of USD 1978.8 is expected to be safe from 2025-02-15. Earliest safe full payment: 2025-02-15.
request_131,1176.4,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-06-23,none,"Requested USD 1855.2. Safe to pay today: USD 1176.4. Installments fit within the 90-day balance forecast. Installment plan: 2025-05-06:643.14,2025-06-03:643.14,2025-07-01:643.14."
request_132,0,not_affordable,not_recommended,none,"",none,Requested USD 379.86. Safe to pay today: USD 0. No safe way to complete this request by the deadline was found.
request_133,0,not_affordable,not_recommended,none,"",none,Requested IDR 15770000. Safe to pay today: IDR 0. No safe way to complete this request by the deadline was found.
request_134,4354723.06,affordable_later,wait,2025-10-15:21831000,2025-10-15,none,Requested IDR 21831000. Safe to pay today: IDR 4354723.06. Full payment of IDR 21831000 is expected to be safe from 2025-10-15. Earliest safe full payment: 2025-10-15.
request_135,304.8,affordable_with_plan,full_payment,2026-07-06:304.8,2026-07-06,stop:event_12413|reduce_to:event_12458:17.50,"Requested USD 304.8. Safe to pay today: USD 271.74. Full payment is safe after adjusting flexible spending. Spending changes needed: stop:event_12413,reduce_to:event_12458:17.50."
request_136,560.4,affordable_now,full_payment,2024-06-03:560.4,2024-06-03,none,Requested USD 560.4. Safe to pay today: USD 560.4. The full amount is affordable today without spending changes.
request_137,29439.73,affordable_later,wait,2026-01-15:80100,2026-01-15,none,Requested INR 80100. Safe to pay today: INR 29439.73. Full payment of INR 80100 is expected to be safe from 2026-01-15. Earliest safe full payment: 2026-01-15.
request_138,849.82,affordable_with_plan,partial_payment,2026-04-07:849.82|2026-04-15:407.12,2026-04-15,none,"Requested EUR 1256.94. Safe to pay today: EUR 849.82. A two-payment partial plan completes the request safely. Partial plan: 2026-04-07:849.82,2026-04-15:407.12."
request_139,0,not_affordable,not_recommended,none,"",none,Requested USD 2316. Safe to pay today: USD 1337.21. No safe way to complete this request by the deadline was found.
request_140,0,not_affordable,not_recommended,none,"",none,Requested ZAR 62832. Safe to pay today: ZAR 1420.67. No safe way to complete this request by the deadline was found.
request_141,0,not_affordable,not_recommended,none,"",none,Requested INR 171600. Safe to pay today: INR 24266.6. No safe way to complete this request by the deadline was found.
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.6,2024-12-05,none,Requested USD 1263.6. Safe to pay today: USD 1263.6. The full amount is affordable today without spending changes.
request_143,2461.09,affordable_later,wait,2025-07-15:12584,2025-07-15,none,Requested ZAR 12584. Safe to pay today: ZAR 2461.09. Full payment of ZAR 12584 is expected to be safe from 2025-07-15. Earliest safe full payment: 2025-07-15.
request_144,233.34,affordable_with_plan,full_payment,2026-07-04:233.34,2026-07-04,reduce_to:event_13306:17.50,Requested USD 233.34. Safe to pay today: USD 194.72. Full payment is safe after adjusting flexible spending. Spending changes needed: reduce_to:event_13306:17.50.
request_145,38602.61,affordable_with_plan,installments,2024-03-20:75365.33|2024-04-20:75365.33|2024-05-21:75365.33,2024-05-15,none,"Requested INR 217400. Safe to pay today: INR 38602.61. Installments fit within the 90-day balance forecast. Installment plan: 2024-03-20:75365.33,2024-04-20:75365.33,2024-05-21:75365.33."
request_146,0,not_affordable,not_recommended,none,"",none,Requested INR 449400. Safe to pay today: INR 14767.49. No safe way to complete this request by the deadline was found.
request_147,537.23,affordable_with_plan,installments,2026-04-08:391.63|2026-05-08:391.63|2026-06-07:391.63,2026-05-15,none,"Requested EUR 1129.7. Safe to pay today: EUR 537.23. Installments fit within the 90-day balance forecast. Installment plan: 2026-04-08:391.63,2026-05-08:391.63,2026-06-07:391.63."
request_148,7747.85,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-07-15,stop:event_13592,"Requested ZAR 22242. Safe to pay today: ZAR 7172.55. Installments fit within the 90-day balance forecast. Installment plan: 2024-06-14:7710.56,2024-07-15:7710.56,2024-08-15:7710.56. Spending changes needed: stop:event_13592."
request_149,24323.83,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-12-15,none,"Requested ZAR 36652. Safe to pay today: ZAR 24323.83. Installments fit within the 90-day balance forecast. Installment plan: 2025-11-18:12706.03,2025-12-16:12706.03,2026-01-13:12706.03."
request_150,310.73,affordable_with_plan,installments,2026-01-06:171.98|2026-02-05:171.98|2026-03-07:171.98,2026-02-15,none,"Requested EUR 496.1. Safe to pay today: EUR 310.73. Installments fit within the 90-day balance forecast. Installment plan: 2026-01-06:171.98,2026-02-05:171.98,2026-03-07:171.98."
request_151,26999000,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,Requested IDR 26999000. Safe to pay today: IDR 26999000. The full amount is affordable today without spending changes.
request_152,0,not_affordable,not_recommended,none,"",none,Requested ZAR 13882. Safe to pay today: ZAR 11022.58. No safe way to complete this request by the deadline was found.
request_153,0,not_affordable,not_recommended,none,"",none,Requested USD 2830.8. Safe to pay today: USD 77.65. No safe way to complete this request by the deadline was found.
request_154,1625.8,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,"Requested EUR 1625.8. Safe to pay today: EUR 1625.8. Installments fit within the 90-day balance forecast. Installment plan: 2024-12-04:563.61,2025-01-04:563.61,2025-02-04:563.61."
request_155,112500,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,Requested INR 112500. Safe to pay today: INR 112500. The full amount is affordable today without spending changes.
request_156,9537.45,affordable_later,wait,2026-06-15:43076,2026-06-15,none,Requested ZAR 43076. Safe to pay today: ZAR 9537.45. Full payment of ZAR 43076 is expected to be safe from 2026-06-15. Earliest safe full payment: 2026-06-15.
request_157,4637066.45,affordable_later,wait,2024-05-15:23503000,2024-05-15,none,Requested IDR 23503000. Safe to pay today: IDR 4637066.45. Full payment of IDR 23503000 is expected to be safe from 2024-05-15. Earliest safe full payment: 2024-05-15.
